Flight No.,FlightNumber,Date,Time,Launchoutcome,Outcome,BoosterVersion,Version Booster,Launch site,LaunchSite,Longitude,Latitude,Payload,PayloadMass,Orbit,Customer,Serial,Flights,GridFins,Reused,Legs,Block,ReusedCount,Booster landing,LandingPad
125,125,2021-05-04T19:01:00.000Z,19:01:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Starlink-25,15600.0,VLEO,SpaceX,B1049,,True,True,True,,,Success,Of Course I Still Love You
126,126,2021-05-09T06:42:00.000Z,06:42:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink-27,15600.0,VLEO,SpaceX,B1051,,True,True,True,,,Success,Of Course I Still Love You
127,127,2021-05-15T22:54:00.000Z,22:54:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,"Starlink-26, Capella-6, Tyvak-0130",13632.0,"LEO, VLEO","Capella Space, NOAA, SpaceX, Tyvak Nano-Satellite Systems Inc",B1058,,True,True,True,,,Success,Of Course I Still Love You
128,128,2021-05-26T18:59:00.000Z,18:59:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink-28,15600.0,VLEO,SpaceX,B1063,,True,True,True,,,Success,Just Read The Instructions
129,129,2021-06-03T17:29:00.000Z,17:29:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,CRS-22,3328.0,ISS,NASA (CRS),B1067,,True,False,True,,,Success,Of Course I Still Love You
130,130,2021-06-06T04:26:00.000Z,04:26:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,SXM-8,7000.0,GTO,SiriusXM,B1061,,True,True,True,,,Success,Just Read The Instructions
131,131,2021-06-17T16:09:00.000Z,16:09:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,GPS III SV05,3681.0,MEO,USAF,B1062,,True,True,True,,,Success,Just Read The Instructions
132,132,2021-06-30T19:31:00.000Z,19:31:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Transporter-2,,SSO,,B1060,,True,True,True,,,Success,Landing Zone 1
133,133,2021-08-29T07:14:00.000Z,07:14:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,CRS-23,,ISS,NASA (CRS),B1061,,True,True,True,,,Success,A Shortfall of Gravitas
134,134,2021-09-14T03:55:00.000Z,03:55:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,Starlink 2-1 (v1.5),15600.0,PO,SpaceX,B1049,,True,True,True,,,Success,Of Course I Still Love You
135,135,2021-09-16T00:02:00.000Z,00:02:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Inspiration4,,LEO,Jared Isaacman,B1062,,True,True,True,,,Success,Just Read The Instructions
136,136,2021-11-11T02:03:00.000Z,02:03:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Crew-3,12519.0,ISS,NASA (CCtCap),B1067,,True,True,True,,,Success,A Shortfall of Gravitas
137,137,2021-11-13T12:40:00.000Z,12:40:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink 4-1 (v1.5),13260.0,LEO,SpaceX,B1058,,True,True,True,,,Success,Just Read The Instructions
138,138,2021-11-24T06:20:00.000Z,06:20:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,DART (Double Asteroid Redirection Test),670.0,TLI,NASA,B1063,,True,True,True,,,Success,Of Course I Still Love You
139,139,2021-12-01T23:20:00.000Z,23:20:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink 4-3 (v1.5),13260.0,PO,SpaceX,B1060,,True,True,True,,,Success,A Shortfall of Gravitas
140,140,2021-12-09T06:00:00.000Z,06:00:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,IPXE,330.0,LEO,"ASI, NASA",B1061,,True,True,True,,,Success,Just Read The Instructions
141,141,2021-12-18T12:41:40.000Z,12:41:40,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,Starlink 4-4 (v1.5),13260.0,PO,SpaceX,B1051,,True,True,True,,,Success,Of Course I Still Love You
142,142,2021-12-19T03:58:00.000Z,03:58:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Türksat 5B,3500.0,GTO,Turksat,B1067,,True,True,True,,,Success,A Shortfall of Gravitas
143,143,2021-12-21T10:06:00.000Z,10:06:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,CRS-24,,ISS,NASA (CRS),B1069,,True,False,True,,,Success,Just Read The Instructions
144,144,2022-01-06T21:49:00.000Z,21:49:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Starlink 4-5 (v1.5),13260.0,VLEO,SpaceX,B1062,,True,True,True,,,Success,A Shortfall of Gravitas
145,145,2022-01-13T15:25:00.000Z,15:25:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,NROL-87,,LEO,"National Reconnaissance Office, USAF",B1058,,True,True,True,,,Success,Landing Zone 1
146,146,2022-01-19T00:04:00.000Z,00:04:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Starlink 4-6 (v1.5),13260.0,VLEO,SpaceX,B1060,,True,True,True,,,Success,A Shortfall of Gravitas
147,147,2022-01-31T23:11:12.000Z,23:11:12,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,CSG-2,2240.0,SSO,ESA,B1052,,True,True,True,,,Success,Landing Zone 1
148,148,2022-02-02T20:18:00.000Z,20:18:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,NROL-87,,LEO,"National Reconnaissance Office, USAF",B1071,,True,False,True,,,Success,Landing Zone 4
149,149,2022-02-03T18:13:00.000Z,18:13:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Starlink 4-7 (v1.5),13260.0,VLEO,SpaceX,B1061,,True,True,True,,,Success,A Shortfall of Gravitas
150,150,2022-02-21T14:44:00.000Z,14:44:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink 4-8 (v1.5),13260.0,VLEO,SpaceX,B1058,,True,True,True,,,Success,A Shortfall of Gravitas
151,151,2022-02-25T17:12:00.000Z,17:12:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,Starlink 4-11 (v1.5),13260.0,VLEO,SpaceX,B1063,,True,True,True,,,Success,Of Course I Still Love You
152,152,2022-03-03T14:35:00.000Z,14:35:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Starlink 4-9 (v1.5),13260.0,VLEO,SpaceX,B1060,,True,True,True,,,Success,Just Read The Instructions
153,153,2022-03-09T13:45:00.000Z,13:45:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink 4-10 (v1.5),13260.0,VLEO,SpaceX,B1052,,True,True,True,,,Success,A Shortfall of Gravitas
154,154,2022-03-19T03:24:00.000Z,03:24:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink 4-12 (v1.5),13260.0,VLEO,SpaceX,B1051,,True,True,True,,,Success,Just Read The Instructions
155,155,2022-04-01T16:24:00.000Z,16:24:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Transporter-4,,SSO,,B1061,,True,True,True,,,Success,Just Read The Instructions
156,156,2022-04-08T15:17:00.000Z,15:17:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Ax-1,,ISS,Axiom Space,B1062,,True,True,True,,,Success,A Shortfall of Gravitas
157,157,2022-04-17T13:13:00.000Z,13:13:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,NROL-85,,LEO,"National Reconnaissance Office, USAF",B1071,,True,True,True,,,Success,Landing Zone 4
158,158,2022-04-21T15:16:00.000Z,15:16:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink 4-14 (v1.5),13260.0,VLEO,SpaceX,B1060,,True,True,True,,,Success,Just Read The Instructions
159,159,2022-04-27T07:52:00.000Z,07:52:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Crew-4,,ISS,NASA (CCtCap),B1067,,True,True,True,,,Success,A Shortfall of Gravitas
160,160,2022-04-29T21:27:00.000Z,21:27:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink 4-16 (v1.5),13260.0,VLEO,SpaceX,B1062,,True,True,True,,,Success,Just Read The Instructions
161,161,2022-05-06T09:42:00.000Z,09:42:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Starlink 4-17 (v1.5),13260.0,VLEO,SpaceX,B1058,,True,True,True,,,Success,A Shortfall of Gravitas
162,162,2022-05-13T22:07:00.000Z,22:07:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,Starlink 4-13 (v1.5),13260.0,VLEO,SpaceX,B1063,,True,True,True,,,Success,Of Course I Still Love You
163,163,2022-05-14T20:40:00.000Z,20:40:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink 4-15 (v1.5),13260.0,VLEO,SpaceX,B1073,,True,False,True,,,Success,Just Read The Instructions
164,164,2022-05-18T10:40:00.000Z,10:40:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Starlink 4-18 (v1.5),13260.0,VLEO,SpaceX,B1052,,True,True,True,,,Success,A Shortfall of Gravitas
165,165,2022-05-25T18:27:00.000Z,18:27:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Transporter-5,,SSO,,B1061,,True,True,True,,,Success,Landing Zone 1
166,166,2022-06-08T21:04:00.000Z,21:04:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Nilesat-301,3938.0,GEO,Nilesat,B1062,,True,True,True,,,Success,Just Read The Instructions
167,167,2022-06-01T17:08:50.000Z,17:08:50,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Starlink 4-19 (v1.5),13260.0,VLEO,SpaceX,B1060,,True,True,True,,,Success,A Shortfall of Gravitas
168,168,2022-06-18T14:19:00.000Z,14:19:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,SARah 1,2200.0,SSO,"AG, Bundeswehr, OHB-System",B1071,,True,True,True,,,Success,Landing Zone 4
169,169,2022-06-19T04:27:00.000Z,04:27:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Globalstar FM15,700.0,LEO,Globalstar,B1061,,True,True,True,,,Success,Just Read The Instructions
170,170,2022-06-29T21:04:00.000Z,21:04:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,SES-22,3500.0,MEO,SES,B1073,,True,True,True,,,Success,A Shortfall of Gravitas
171,171,2022-07-07T13:11:00.000Z,13:11:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink 4-21 (v1.5),13260.0,VLEO,SpaceX,B1058,,True,True,True,,,Success,Just Read The Instructions
172,172,2022-07-11T01:39:00.000Z,01:39:00,,,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,Starlink 3-1 (v1.5),13260.0,VLEO,SpaceX,B1063,,True,True,True,,,Success,Of Course I Still Love You
173,173,2022-07-15T00:44:00.000Z,00:44:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,CRS-25,,ISS,NASA (CRS),B1067,,True,True,True,,,Success,A Shortfall of Gravitas
174,174,2022-07-17T14:50:00.000Z,14:50:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink 4-22 (v1.5),13260.0,VLEO,SpaceX,B1051,,True,True,True,,,Success,Just Read The Instructions
175,175,2022-07-21T17:13:00.000Z,17:13:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,Starlink 3-2 (v1.5),13260.0,VLEO,SpaceX,B1071,,True,True,True,,,Success,Of Course I Still Love You
176,176,2022-07-24T00:00:00.000Z,00:00:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink 4-25 (v1.5),13260.0,VLEO,SpaceX,B1062,,True,True,True,,,Success,A Shortfall of Gravitas
177,177,2022-08-04T23:08:00.000Z,23:08:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,KPLO,678.0,TLI,KARI,B1052,,True,True,True,,,Success,Just Read The Instructions
178,178,2022-08-09T22:57:00.000Z,22:57:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Starlink 4-26 (v1.5),13260.0,VLEO,SpaceX,B1073,,True,True,True,,,Success,A Shortfall of Gravitas
179,179,2022-08-12T21:30:00.000Z,21:30:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,Starlink 3-3 (v1.5),13260.0,VLEO,SpaceX,B1061,,True,True,True,,,Success,Of Course I Still Love You
180,180,2022-08-19T19:24:00.000Z,19:24:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink 4-27 (v1.5),13260.0,VLEO,SpaceX,B1062,,True,True,True,,,Success,A Shortfall of Gravitas
181,181,2022-08-28T02:22:00.000Z,02:22:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Starlink 4-23 (v1.5),13260.0,VLEO,SpaceX,B1069,,True,True,True,,,Success,A Shortfall of Gravitas
182,182,2022-08-31T05:40:00.000Z,05:40:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,Starlink 3-4 (v1.5),13260.0,VLEO,SpaceX,B1063,,True,True,True,,,Success,Of Course I Still Love You
183,183,2022-09-05T02:09:00.000Z,02:09:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,"Starlink 4-20 (v1.5), Varuna-TDM",13440.0,VLEO,"Boeing, SpaceX",B1052,,True,True,True,,,Success,Just Read The Instructions
184,184,2022-09-11T01:10:00.000Z,01:10:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,"Starlink 4-2 (v1.5), BlueWalker 3",14760.0,VLEO,"AST & Science, SpaceX",B1058,,True,True,True,,,Success,A Shortfall of Gravitas
185,185,2022-09-17T01:05:00.000Z,01:05:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink 4-34 (v1.5),13260.0,VLEO,SpaceX,B1067,,True,True,True,,,Success,Just Read The Instructions
186,186,2022-09-24T23:30:00.000Z,23:30:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink 4-35 (v1.5),13260.0,VLEO,SpaceX,B1072,,True,True,True,,,Success,Just Read The Instructions
187,187,2022-10-05T16:00:00.000Z,16:00:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Crew-5,,ISS,NASA (CCtCap),B1077,,True,False,True,,,Success,Just Read The Instructions
